"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
1985,85.3,55,142.4,196.9,268.2,245.5,256.9,310.4,267.9,256.9,201.1,120.8,607.5,812.7,726,374.2,2407.2
1986,108.9,144.6,150.3,223.3,333.4,305.2,233,210.9,245.7,343.9,194.8,85.3,706.9,749.1,784.4,252.4,2579.2
1987,89.3,77.8,145.8,252.1,317.8,196.6,293.2,211.9,265.3,298.4,186,112.9,715.8,701.8,749.7,306,2447.2
1988,84.4,108.7,93,219.1,251.3,323.8,316.4,339.3,298,275.7,289.5,160.6,563.4,979.6,863.3,387.4,2760
1989,115.5,111.3,189.5,157.3,276.1,288.5,240.7,233.3,254.5,213.2,174.1,135,622.9,762.5,641.8,357.5,2389
1990,103.7,118.8,158,244.5,269.9,235.7,242.3,194.3,188,298.2,186.6,164.2,672.4,672.2,672.7,308.4,2404.1
1991,70.1,74.1,209.9,207.2,241.5,241.8,273,211.8,211.4,161,181.9,111.7,658.6,726.6,554.3,257.4,2195.4
1992,65.4,80.4,103.4,202.4,231.3,218.5,254.6,219.6,242.4,148.3,197.5,135.3,537.2,692.7,588.1,358.7,2099
1993,112,111.4,176.8,234.1,201.4,194.7,189,214.2,281.8,207.4,265.6,131.9,612.3,597.8,754.9,362.3,2320.3
1994,116.3,114.1,187.3,231.5,269.3,230,235.8,211,236.1,252.4,255.6,101.8,688.1,676.8,744.1,249.4,2441.2
1995,74.4,73.2,179,239.6,279.9,307.1,325.7,264.7,237.7,243.4,199.4,156.5,698.5,897.5,680.5,405.8,2580.6
1996,102.8,146.5,194,198.1,338.3,322.8,289.8,255.2,210.8,259.6,208.5,131.5,730.4,867.9,679,409,2658.1
1997,150.8,126.7,140.2,202.7,228.4,320.9,225,177.1,181.6,166.6,188.6,91.6,571.3,723.1,536.8,246.3,2200.3
1998,54.4,100.4,160.3,234,344.4,308.2,313.1,247,242.8,236.4,225.9,175.3,738.8,868.4,705.1,493.8,2642.3
1999,137.4,181.1,171.1,273.9,266.3,304.4,237.1,249.1,373.3,298.4,211.7,176.1,711.3,790.6,883.5,459.5,2879.9
2000,102,181.4,206.5,190,334.4,281.3,309.1,242.9,289.4,208.4,186.7,145,730.9,833.3,684.6,325.3,2677.1
