"YEAR","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","MAM","JJA","SON","DJF","ANN"
1966,83.7,67.4,81,73.8,34.9,35.5,32.3,12.5,15.9,32.2,78.4,76.8,189.7,80.3,126.5,187.5,624.5
1967,55.4,55.3,51.3,31.5,43.4,23.2,30.5,33.3,39.6,96.8,50.4,38.6,126.2,87,186.8,163.6,549.3
1968,63.5,61.6,61.3,18.3,12.1,31.6,21.3,32,30.5,65.4,58.8,80.5,91.8,84.8,154.6,201.8,536.8
1969,52.5,68.8,68.1,53.2,48.5,36.9,22.4,15.7,25.9,37.4,64.6,59,169.8,75,127.9,202.2,552.9
1970,88.6,54.6,79.9,28.2,37.9,24.6,22.5,16.6,42.7,46.8,30.4,59.8,146.1,63.7,119.9,222.8,532.6
1971,94.3,68.7,69.7,39.4,33.3,23,30.5,33.4,32,41.9,35.2,47.1,142.4,86.9,109.1,148.2,548.6
1972,64.6,36.4,64.4,46.8,36.1,53,24.8,39.9,54.1,49.5,77,76.8,147.3,117.7,180.6,238.7,623.4
1973,86.4,75.5,101,74.1,28.2,59.2,35,13.8,15,60.2,36.4,64.2,203.2,108,111.6,248,648.9
1974,83.5,100.3,59.9,24.7,62.2,26.8,23.3,22.5,21.4,33.2,33.2,68,146.9,72.6,87.8,202,559.1
1975,66.3,67.7,107.4,54.8,45.1,39.7,17.3,30.2,39.7,28.8,55.2,40.6,207.3,87.1,123.7,218.2,592.7
1976,94,83.6,66.4,40.5,25,23.4,17.1,33.5,24.6,61.7,69.3,92.3,131.9,73.9,155.6,279.9,631.3
1977,96.1,91.5,64.7,49.7,30.5,29.8,27.7,26.3,26.4,68,58.5,101.8,144.9,83.8,152.9,267.9,671
1978,88.4,77.6,80.7,21.8,28.6,29.9,48.9,11.8,52.2,56.1,70.1,75.9,131.1,90.7,178.4,211,642.1
1979,70.4,64.7,64.6,45,31.1,26.5,25.2,37.7,35.4,50.4,72.8,94.7,140.7,89.5,158.6,209.6,618.6
1980,45.4,69.5,82.3,88.1,54.2,32.2,26.9,22,19.6,54,72.5,59.1,224.6,81.2,146,263.8,625.8
1981,112.4,92.3,58.4,69.6,63.1,27,16.5,19.5,20.2,34.8,65.8,52.9,191.1,63,120.8,185.5,632.5
1982,60.2,72.4,71.9,56.9,36.1,52.5,30.7,26.8,67.3,41,71,61,164.8,110,179.3,230.7,647.8
1983,97.5,72.2,62.7,64.5,62.6,24.4,28.7,28.9,23.4,51.3,45.5,61.9,189.8,82,120.2,269.3,623.6
1984,92.1,115.3,109.5,40.3,47.3,35.1,27.1,17.9,47.1,61.2,74.6,66.6,197.1,80.1,182.9,216.3,734.1
1985,70.9,78.8,60.8,68.6,42.8,23.3,41.6,25.5,38.5,72.2,66.2,67.2,172.2,90.4,176.9,199.9,656.5
1986,72.4,60.2,78.3,84.4,43.5,42.6,20.5,32.9,43.1,62.6,80.1,58.6,206.2,96,185.8,208.7,679.3
1987,83.3,66.8,90.9,58.2,32.3,20.3,55,33.9,20.4,43,72.6,72.2,181.4,109.2,135.9,213.4,648.8
1988,86,55.2,97.1,36.1,13.1,20.4,13.4,18.6,34.7,33.2,35.4,50.5,146.2,52.4,103.3,136.6,493.7
1989,45.2,40.8,82.6,45.2,27.7,35.4,23.7,35.4,24.5,39.4,45.5,85.1,155.4,94.5,109.4,238.9,530.6
1990,78.6,75.2,83.4,78.5,45.6,20.4,18.9,19.1,33.3,70.4,66.9,81.1,207.5,58.5,170.6,221.9,671.4
1991,86.6,54.2,59.5,61.5,44.9,52.7,27,20.9,36.4,49.4,55.2,115.1,166,100.5,141,276.5,663.4
1992,77.1,84.4,91.2,68.1,50.6,42.7,18.4,34.1,37.9,53.3,72.2,99.8,209.9,95.2,163.3,228.1,729.7
1993,84.2,44.1,65.1,63.8,46.5,41.3,15.8,16.7,23.1,67,79.7,64.2,175.4,73.7,169.8,208.4,611.5
1994,69.7,74.4,63.2,48.7,49.9,32.8,29.3,20.4,22.3,63,54.9,71.8,161.8,82.5,140.2,210.3,600.4
1995,74.6,63.9,75.7,47.3,29.5,23.7,16.2,15.9,19,45.9,54.1,40.2,152.4,55.8,119,202.1,506
1996,79.3,82.6,64.1,72.1,29.9,19.4,11.5,23.5,30.6,57.2,63.3,101.1,166.1,54.4,151.1,262,634.6
1997,81.8,79,66.5,34.2,34.9,47.1,26.5,26.1,32.6,62.1,67.5,103,135.7,99.8,162.2,273.1,661.6
1998,82.9,87.2,70.2,84.3,37.5,27.4,21,25.3,33.2,46.3,56.8,59.7,192,73.6,136.3,204,631.8
1999,76,68.3,107,58.6,37.7,36.3,26.8,21,35,56.6,48.7,64.3,203.2,84.2,140.3,228.8,636.2
2000,71.3,93.3,81.8,70.3,62.1,45.3,24.4,21.2,33.9,83.9,70.3,61.1,214.1,90.9,188.2,230.5,718.8
2001,101,68.4,98.2,67.6,38,38.4,24.7,40.1,47.7,77.1,64.4,49,203.7,103.2,189.2,181.2,714.5
2002,71,61.1,110.6,71.3,56.5,22.2,29.5,41.3,38.4,79.8,78.8,94.7,238.5,93,197,230.6,755.3
2003,64.1,71.8,79.9,58.6,34,31.5,21.6,21.9,22.9,50.9,56.7,81.6,172.5,75,130.4,186.5,595.5
2004,51.5,53.3,56.8,78.6,25.9,29.2,30.7,18,23.5,51.8,75.3,77.7,161.3,77.9,150.6,198.9,572.2
2005,66.7,54.5,83.3,52.7,38.5,43.6,17.8,32.9,25.6,39.2,55.2,59.5,174.5,94.2,120,200.6,569.4
2006,79.8,61.3,64.4,52.7,12.5,36.9,26.2,16.8,20.7,72.4,56.7,91.6,129.7,79.9,149.8,260,592.2
2007,82.2,86.2,109.1,46.2,27.4,16.3,14.1,14,47,54.3,36,55.7,182.7,44.4,137.3,220,588.6
